,URL,Dinosaur,Height,Weight
0,https://en.wikipedia.org/wiki/Hadrosaurus,Hadrosaurus,-,-
1,https://en.wikipedia.org/wiki/Allosaurus,Allosaurus,5 meters,-
2,https://en.wikipedia.org/wiki/Aachenosaurus,Aachenosaurus,5 meters,-
3,https://en.wikipedia.org/wiki/Aardonyx,Aardonyx,-,-
4,https://en.wikipedia.org/wiki/Abdallahsaurus,Abdallahsaurus,12 meters,15 tonnes
5,https://en.wikipedia.org/wiki/Giraffatitan,Giraffatitan,12 meters,15 tonnes
6,https://en.wikipedia.org/wiki/Abdarainurus,Abdarainurus,-,-
7,https://en.wikipedia.org/wiki/Abelisaurus,Abelisaurus,-,-
8,https://en.wikipedia.org/wiki/Abrictosaurus,Abrictosaurus,2 meters,45 kilograms
9,https://en.wikipedia.org/wiki/Abrosaurus,Abrosaurus,-,-
10,https://en.wikipedia.org/wiki/Abydosaurus,Abydosaurus,-,-
11,https://en.wikipedia.org/wiki/Acantholipan,Acantholipan,-,-
12,https://en.wikipedia.org/wiki/Acanthopholis,Acanthopholis,-,-
13,https://en.wikipedia.org/wiki/Achelousaurus,Achelousaurus,-,-
14,https://en.wikipedia.org/wiki/Acheroraptor,Acheroraptor,-,-
15,https://en.wikipedia.org/wiki/Achillesaurus,Achillesaurus,-,-
16,https://en.wikipedia.org/wiki/Alvarezsaurus,Alvarezsaurus,4 meters,-
17,https://en.wikipedia.org/wiki/Achillobator,Achillobator,-,-
18,https://en.wikipedia.org/wiki/Acristavus,Acristavus,-,-
19,https://en.wikipedia.org/wiki/Acrocanthosaurus,Acrocanthosaurus,5 meters,-
20,https://en.wikipedia.org/wiki/Acrotholus,Acrotholus,-,-
21,https://en.wikipedia.org/wiki/Actiosaurus,Actiosaurus,-,-
22,https://en.wikipedia.org/wiki/Choristoderan,choristoderan,-,-
23,https://en.wikipedia.org/wiki/Adamantisaurus,Adamantisaurus,13 meters,5 tonnes
24,https://en.wikipedia.org/wiki/Adasaurus,Adasaurus,-,-
25,https://en.wikipedia.org/wiki/Adelolophus,Adelolophus,-,-
26,https://en.wikipedia.org/wiki/Adeopapposaurus,Adeopapposaurus,-,-
27,https://en.wikipedia.org/wiki/Adratiklit,Adratiklit,-,-
28,https://en.wikipedia.org/wiki/Adynomosaurus,Adynomosaurus,-,-
29,https://en.wikipedia.org/wiki/Aegyptosaurus,Aegyptosaurus,15 meters,7 tonnes
